model_name,model_type,input_size,total_params,analysis,num_transformer_layers,num_normalizations,num_skip_connections,num_convolutional_layers,num_dense_layers,final_receptive_field_size,num_strides,num_max_pools,pretrain_dataset,results-imagenet,results-sketch,results-imagenetv2-matched-frequency,results-imagenet-r,results-imagenet-a
efficientvit_b3.r288_in1k,CNN,288,48646056,"{'model_type': 'CNN', 'num_layers': 162, 'num_normalizations': 52, 'num_skip_connections': 30, 'num_convolutional_layers': 157, 'num_transformer_layers': 0, 'num_dense_layers': 2, 'final_receptive_field_size': 0, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 33685340}",0,52,30,157,2,0.0,0.0,0.0,efficientvit_b3,84.156,38.696,73.67,50.387,37.347
efficientvit_l1.r224_in1k,CNN,224,52654088,"{'model_type': 'CNN', 'num_layers': 140, 'num_normalizations': 42, 'num_skip_connections': 14, 'num_convolutional_layers': 136, 'num_transformer_layers': 0, 'num_dense_layers': 2, 'final_receptive_field_size': 1, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 44274240}",0,42,14,136,2,1.0,0.0,0.0,efficientvit_l1,84.448,40.103,74.07,52.547,35.96
efficientvit_l2.r224_in1k,CNN,224,63707016,"{'model_type': 'CNN', 'num_layers': 151, 'num_normalizations': 48, 'num_skip_connections': 20, 'num_convolutional_layers': 112, 'num_transformer_layers': 0, 'num_dense_layers': 2, 'final_receptive_field_size': 1, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 41643304}",0,48,20,112,2,1.0,0.0,0.0,efficientvit_l2,85.044,41.074,75.26,54.58,42.653
efficientvit_l2.r256_in1k,CNN,256,63707016,"{'model_type': 'CNN', 'num_layers': 178, 'num_normalizations': 43, 'num_skip_connections': 22, 'num_convolutional_layers': 106, 'num_transformer_layers': 0, 'num_dense_layers': 2, 'final_receptive_field_size': -1, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 53732614}",0,43,22,106,2,-1.0,0.0,0.0,efficientvit_l2,85.368,40.675,75.85,54.29,48.587
efficientvit_l2.r288_in1k,CNN,288,63707016,"{'model_type': 'CNN', 'num_layers': 171, 'num_normalizations': 50, 'num_skip_connections': 22, 'num_convolutional_layers': 127, 'num_transformer_layers': 0, 'num_dense_layers': 2, 'final_receptive_field_size': None, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 54962744}",0,50,22,127,2,,0.0,0.0,efficientvit_l2,85.614,42.084,76.27,56.53,51.347
efficientvit_l2.r384_in1k,CNN,384,63707016,"{'model_type': 'CNN', 'num_layers': 173, 'num_normalizations': 37, 'num_skip_connections': 24, 'num_convolutional_layers': 123, 'num_transformer_layers': 0, 'num_dense_layers': 2, 'final_receptive_field_size': -1, 'num_strides': -1, 'num_max_pools': 0, 'num_parameters': 43200784}",0,37,24,123,2,-1.0,-1.0,0.0,efficientvit_l2,85.982,39.655,76.68,55.723,57.747
efficientvit_l3.r224_in1k,CNN,224,246037288,"{'model_type': 'CNN', 'num_layers': 142, 'num_normalizations': 57, 'num_skip_connections': 23, 'num_convolutional_layers': 128, 'num_transformer_layers': 0, 'num_dense_layers': 2, 'final_receptive_field_size': 1, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 210000000}",0,57,23,128,2,1.0,0.0,0.0,efficientvit_l3,85.812,42.642,75.96,57.533,51.72
efficientvit_l3.r256_in1k,CNN,256,246037288,"{'model_type': 'CNN', 'num_layers': 160, 'num_normalizations': 51, 'num_skip_connections': 17, 'num_convolutional_layers': 150, 'num_transformer_layers': 0, 'num_dense_layers': 2, 'final_receptive_field_size': 0, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 204868000}",0,51,17,150,2,0.0,0.0,0.0,efficientvit_l3,85.954,42.066,76.45,56.99,56.147
efficientvit_l3.r320_in1k,CNN,320,246037288,"{'model_type': 'CNN', 'num_layers': 255, 'num_normalizations': 66, 'num_skip_connections': 20, 'num_convolutional_layers': 127, 'num_transformer_layers': 0, 'num_dense_layers': 2, 'final_receptive_field_size': 1, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 229529664}",0,66,20,127,2,1.0,0.0,0.0,efficientvit_l3,86.23,42.952,77.26,57.607,59.853
efficientvit_l3.r384_in1k,CNN,384,246037288,"{'model_type': 'CNN', 'num_layers': 165, 'num_normalizations': 40, 'num_skip_connections': 20, 'num_convolutional_layers': 133, 'num_transformer_layers': 0, 'num_dense_layers': 2, 'final_receptive_field_size': 1, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 205773808}",0,40,20,133,2,1.0,0.0,0.0,efficientvit_l3,86.398,43.302,77.41,58.36,64.813
efficientvit_m0.r224_in1k,ConvMixer-like,224,2348656,"{'model_type': 'ConvMixer-like', 'num_layers': 150, 'num_normalizations': 89, 'num_skip_connections': 7, 'num_convolutional_layers': 125, 'num_transformer_layers': 0, 'num_dense_layers': 1, 'final_receptive_field_size': 1, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 2234448}",0,89,7,125,1,1.0,0.0,0.0,efficientvit_m0,63.294,16.652,50.61,28.797,2.267
efficientvit_m1.r224_in1k,ConvMixer or similar convolutional/MLP hybrid,224,2980024,"{'model_type': 'ConvMixer or similar convolutional/MLP hybrid', 'num_layers': 146, 'num_normalizations': 87, 'num_skip_connections': 0, 'num_convolutional_layers': 86, 'num_transformer_layers': 0, 'num_dense_layers': 1, 'final_receptive_field_size': -1, 'num_strides': -1, 'num_max_pools': 0, 'num_parameters': 2338276}",0,87,0,86,1,-1.0,-1.0,0.0,efficientvit_m1,68.352,19.975,55.57,31.26,2.907
efficientvit_m2.r224_in1k,ConvMixer or similar hybrid architecture,224,4186968,"{'model_type': 'ConvMixer or similar hybrid architecture', 'num_layers': 118, 'num_normalizations': 126, 'num_skip_connections': 0, 'num_convolutional_layers': 88, 'num_transformer_layers': 0, 'num_dense_layers': 1, 'final_receptive_field_size': None, 'num_strides': None, 'num_max_pools': 0, 'num_parameters': 3190616}",0,126,0,88,1,,,0.0,efficientvit_m2,70.8,21.046,58.37,33.19,3.56
efficientvit_m3.r224_in1k,CNN with attention mechanisms,224,6900040,"{'model_type': 'CNN with attention mechanisms', 'num_layers': 140, 'num_normalizations': 99, 'num_skip_connections': 0, 'num_convolutional_layers': 138, 'num_transformer_layers': 0, 'num_dense_layers': 1, 'final_receptive_field_size': None, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 4329610}",0,99,0,138,1,,0.0,0.0,efficientvit_m3,73.408,23.396,61.05,36.137,5.187
efficientvit_m4.r224_in1k,ConvMixer or similar hybrid CNN/Mixer architecture,224,8803448,"{'model_type': 'ConvMixer or similar hybrid CNN/Mixer architecture', 'num_layers': 163, 'num_normalizations': 78, 'num_skip_connections': 4, 'num_convolutional_layers': 78, 'num_transformer_layers': 0, 'num_dense_layers': 1, 'final_receptive_field_size': -1, 'num_strides': -1, 'num_max_pools': 0, 'num_parameters': 8844800}",0,78,4,78,1,-1.0,-1.0,0.0,efficientvit_m4,74.346,24.29,61.94,36.56,5.28
efficientvit_m5.r224_in1k,ConvMixer,224,12472928,"{'model_type': 'ConvMixer', 'num_layers': 171, 'num_normalizations': 98, 'num_skip_connections': 6, 'num_convolutional_layers': 96, 'num_transformer_layers': 0, 'num_dense_layers': 1, 'final_receptive_field_size': 1, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 7887808}",0,98,6,96,1,1.0,0.0,0.0,efficientvit_m5,77.082,26.666,64.63,38.777,8.8
ese_vovnet19b_dw.ra_in1k,CNN,224,6531944,"{'model_type': 'CNN', 'num_layers': 63, 'num_normalizations': 0, 'num_skip_connections': 0, 'num_convolutional_layers': 40, 'num_transformer_layers': 0, 'num_dense_layers': 1, 'final_receptive_field_size': 0, 'num_strides': 0, 'num_max_pools': 4, 'num_parameters': 7814400}",0,0,0,40,1,0.0,0.0,4.0,ese_vovnet19b_dw,77.798,23.543,65.96,34.83,8.213
ese_vovnet39b.ra_in1k,CNN,224,24548520,"{'model_type': 'CNN', 'num_layers': 105, 'num_normalizations': 30, 'num_skip_connections': 0, 'num_convolutional_layers': 40, 'num_transformer_layers': 0, 'num_dense_layers': 1, 'final_receptive_field_size': None, 'num_strides': None, 'num_max_pools': 4, 'num_parameters': 22887456}",0,30,0,40,1,,,4.0,ese_vovnet39b,80.378,30.69,69.84,40.873,18.08
eva02_base_patch14_224.mim_in22k,Vision Transformer (ViT),224,85560576,"{'model_type': 'Vision Transformer (ViT)', 'num_layers': 14, 'num_normalizations': 38, 'num_skip_connections': 0, 'num_convolutional_layers': 1, 'num_transformer_layers': 12, 'num_dense_layers': 24, 'final_receptive_field_size': 0, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 413645824}",12,38,0,1,24,0.0,0.0,0.0,eva02_base_patch14_224,,,,,
eva02_base_patch14_448.mim_in22k_ft_in1k,ViT,448,86329576,"{'model_type': 'ViT', 'num_layers': 15, 'num_normalizations': 26, 'num_skip_connections': 0, 'num_convolutional_layers': 1, 'num_transformer_layers': 12, 'num_dense_layers': 25, 'final_receptive_field_size': 1, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 44158328}",12,26,0,1,25,1.0,0.0,0.0,eva02_base_patch14_448,88.266,58.032,79.53,77.533,77.813
eva02_base_patch14_448.mim_in22k_ft_in22k,ViT,448,102356305,"{'model_type': 'ViT', 'num_layers': 14, 'num_normalizations': 26, 'num_skip_connections': 0, 'num_convolutional_layers': 1, 'num_transformer_layers': 12, 'num_dense_layers': 25, 'final_receptive_field_size': 0, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 63840017}",12,26,0,1,25,0.0,0.0,0.0,eva02_base_patch14_448,,,,,
eva02_base_patch14_448.mim_in22k_ft_in22k_in1k,ViT,448,86329576,"{'model_type': 'ViT', 'num_layers': 15, 'num_normalizations': 27, 'num_skip_connections': 0, 'num_convolutional_layers': 1, 'num_transformer_layers': 12, 'num_dense_layers': 26, 'final_receptive_field_size': 0, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 38285312}",12,27,0,1,26,0.0,0.0,0.0,eva02_base_patch14_448,88.682,58.51,80.05,77.43,77.587
eva02_base_patch16_clip_224.merged2b,ViT,224,86110976,"{'model_type': 'ViT', 'num_layers': 14, 'num_normalizations': 27, 'num_skip_connections': 0, 'num_convolutional_layers': 1, 'num_transformer_layers': 12, 'num_dense_layers': 26, 'final_receptive_field_size': 0, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 393728}",12,27,0,1,26,0.0,0.0,0.0,eva02_base_patch16_clip_224,,,,,
eva02_enormous_patch14_clip_224.laion2b,ViT,224,4349865216,"{'model_type': 'ViT', 'num_layers': 66, 'num_normalizations': 66, 'num_skip_connections': 0, 'num_convolutional_layers': 1, 'num_transformer_layers': 64, 'num_dense_layers': 130, 'final_receptive_field_size': 0, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 370920704}",64,66,0,1,130,0.0,0.0,0.0,eva02_enormous_patch14_clip_224,,,,,
eva02_enormous_patch14_clip_224.laion2b_plus,ViT,224,4349865216,"{'model_type': 'ViT', 'num_layers': 66, 'num_normalizations': 66, 'num_skip_connections': 0, 'num_convolutional_layers': 1, 'num_transformer_layers': 64, 'num_dense_layers': 4, 'final_receptive_field_size': 1, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 184624128}",64,66,0,1,4,1.0,0.0,0.0,eva02_enormous_patch14_clip_224,,,,,
eva02_large_patch14_224.mim_in22k,ViT,224,303004608,"{'model_type': 'ViT', 'num_layers': 25, 'num_normalizations': 52, 'num_skip_connections': 0, 'num_convolutional_layers': 1, 'num_transformer_layers': 24, 'num_dense_layers': 50, 'final_receptive_field_size': None, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 700483584}",24,52,0,1,50,,0.0,0.0,eva02_large_patch14_224,,,,,
eva02_large_patch14_224.mim_m38m,Transformer,224,303004608,"{'model_type': 'Transformer', 'num_layers': 25, 'num_normalizations': 52, 'num_skip_connections': 0, 'num_convolutional_layers': 1, 'num_transformer_layers': 24, 'num_dense_layers': 96, 'final_receptive_field_size': 1, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 87521288}",24,52,0,1,96,1.0,0.0,0.0,eva02_large_patch14_224,,,,,
eva02_large_patch14_448.mim_in22k_ft_in1k,Vision Transformer,448,304029608,"{'model_type': 'Vision Transformer', 'num_layers': 25, 'num_normalizations': 74, 'num_skip_connections': 0, 'num_convolutional_layers': 1, 'num_transformer_layers': 24, 'num_dense_layers': 51, 'final_receptive_field_size': None, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 83498592}",24,74,0,1,51,,0.0,0.0,eva02_large_patch14_448,89.632,66.987,82.19,87.53,86.227
eva02_large_patch14_448.mim_in22k_ft_in22k,ViT,448,325391633,"{'model_type': 'ViT', 'num_layers': 25, 'num_normalizations': 74, 'num_skip_connections': 0, 'num_convolutional_layers': 1, 'num_transformer_layers': 24, 'num_dense_layers': 51, 'final_receptive_field_size': 0, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 116882121}",24,74,0,1,51,0.0,0.0,0.0,eva02_large_patch14_448,,,,,
eva02_large_patch14_448.mim_in22k_ft_in22k_in1k,ViT,448,304029608,"{'model_type': 'ViT', 'num_layers': 25, 'num_normalizations': 51, 'num_skip_connections': 0, 'num_convolutional_layers': 1, 'num_transformer_layers': 24, 'num_dense_layers': 51, 'final_receptive_field_size': -1, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 64292496}",24,51,0,1,51,-1.0,0.0,0.0,eva02_large_patch14_448,89.966,67.561,82.74,87.833,88.413
eva02_large_patch14_448.mim_m38m_ft_in1k,Vision Transformer (ViT),448,304029608,"{'model_type': 'Vision Transformer (ViT)', 'num_layers': 25, 'num_normalizations': 77, 'num_skip_connections': 0, 'num_convolutional_layers': 1, 'num_transformer_layers': 24, 'num_dense_layers': 51, 'final_receptive_field_size': -1, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 62816768}",24,77,0,1,51,-1.0,0.0,0.0,eva02_large_patch14_448,89.554,70.546,82.39,90.477,87.04
eva02_large_patch14_448.mim_m38m_ft_in22k,Vision Transformer (ViT),448,325391633,"{'model_type': 'Vision Transformer (ViT)', 'num_layers': 25, 'num_normalizations': 75, 'num_skip_connections': 0, 'num_convolutional_layers': 1, 'num_transformer_layers': 24, 'num_dense_layers': 50, 'final_receptive_field_size': 0, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 134635777}",24,75,0,1,50,0.0,0.0,0.0,eva02_large_patch14_448,,,,,
eva02_large_patch14_448.mim_m38m_ft_in22k_in1k,Vision Transformer,448,304029608,"{'model_type': 'Vision Transformer', 'num_layers': 25, 'num_normalizations': 52, 'num_skip_connections': 0, 'num_convolutional_layers': 1, 'num_transformer_layers': 24, 'num_dense_layers': 51, 'final_receptive_field_size': 0, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 73470992}",24,52,0,1,51,0.0,0.0,0.0,eva02_large_patch14_448,90.054,70.668,82.72,90.247,88.64
eva02_large_patch14_clip_224.merged2b,ViT,224,303840960,"{'model_type': 'ViT', 'num_layers': 25, 'num_normalizations': 51, 'num_skip_connections': 24, 'num_convolutional_layers': 1, 'num_transformer_layers': 24, 'num_dense_layers': 49, 'final_receptive_field_size': 1, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 70000000}",24,51,24,1,49,1.0,0.0,0.0,eva02_large_patch14_clip_224,,,,,
eva02_large_patch14_clip_336.merged2b,Vision Transformer (ViT),336,303840960,"{'model_type': 'Vision Transformer (ViT)', 'num_layers': 25, 'num_normalizations': 74, 'num_skip_connections': 0, 'num_convolutional_layers': 1, 'num_transformer_layers': 24, 'num_dense_layers': 50, 'final_receptive_field_size': 1, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 82406656}",24,74,0,1,50,1.0,0.0,0.0,eva02_large_patch14_clip_336,,,,,
eva02_small_patch14_224.mim_in22k,Transformer,224,21512832,"{'model_type': 'Transformer', 'num_layers': 14, 'num_normalizations': 26, 'num_skip_connections': 0, 'num_convolutional_layers': 1, 'num_transformer_layers': 12, 'num_dense_layers': 24, 'final_receptive_field_size': 0, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 10293248}",12,26,0,1,24,0.0,0.0,0.0,eva02_small_patch14_224,,,,,
eva02_small_patch14_336.mim_in22k_ft_in1k,Vision Transformer (ViT),336,21897832,"{'model_type': 'Vision Transformer (ViT)', 'num_layers': 14, 'num_normalizations': 26, 'num_skip_connections': 0, 'num_convolutional_layers': 1, 'num_transformer_layers': 12, 'num_dense_layers': 26, 'final_receptive_field_size': -1, 'num_strides': -1, 'num_max_pools': 0, 'num_parameters': 10008848}",12,26,0,1,26,-1.0,-1.0,0.0,eva02_small_patch14_336,85.76,44.013,75.84,58.443,51.093
eva02_tiny_patch14_224.mim_in22k,Vision Transformer (ViT),224,5448000,"{'model_type': 'Vision Transformer (ViT)', 'num_layers': 13, 'num_normalizations': 26, 'num_skip_connections': 0, 'num_convolutional_layers': 1, 'num_transformer_layers': 12, 'num_dense_layers': 24, 'final_receptive_field_size': 1, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 3013536}",12,26,0,1,24,1.0,0.0,0.0,eva02_tiny_patch14_224,,,,,
eva02_tiny_patch14_336.mim_in22k_ft_in1k,Vision Transformer,336,5641000,"{'model_type': 'Vision Transformer', 'num_layers': 14, 'num_normalizations': 26, 'num_skip_connections': 0, 'num_convolutional_layers': 1, 'num_transformer_layers': 12, 'num_dense_layers': 26, 'final_receptive_field_size': -1, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 3040072}",12,26,0,1,26,-1.0,0.0,0.0,eva02_tiny_patch14_336,80.672,28.533,69.42,40.767,23.987
eva_giant_patch14_224.clip_ft_in1k,ViT,224,1012079208,"{'model_type': 'ViT', 'num_layers': 42, 'num_normalizations': 86, 'num_skip_connections': 84, 'num_convolutional_layers': 1, 'num_transformer_layers': 40, 'num_dense_layers': 82, 'final_receptive_field_size': None, 'num_strides': None, 'num_max_pools': None, 'num_parameters': 846052512}",40,86,84,1,82,,,,eva_giant_patch14_224,88.886,70.076,81.68,89.837,81.08
eva_giant_patch14_336.clip_ft_in1k,ViT,336,1012079208,"{'model_type': 'ViT', 'num_layers': 42, 'num_normalizations': 86, 'num_skip_connections': 0, 'num_convolutional_layers': 1, 'num_transformer_layers': 40, 'num_dense_layers': 82, 'final_receptive_field_size': 0, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 388622032}",40,86,0,1,82,0.0,0.0,0.0,eva_giant_patch14_336,89.462,71.2,82.19,90.517,85.12
eva_giant_patch14_336.m30m_ft_in22k_in1k,ViT,336,1012079208,"{'model_type': 'ViT', 'num_layers': 42, 'num_normalizations': 86, 'num_skip_connections': 84, 'num_convolutional_layers': 1, 'num_transformer_layers': 40, 'num_dense_layers': 82, 'final_receptive_field_size': -1, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 422257608}",40,86,84,1,82,-1.0,0.0,0.0,eva_giant_patch14_336,89.57,68.036,81.66,88.62,85.013
eva_giant_patch14_560.m30m_ft_in22k_in1k,ViT,560,1012079208,"{'model_type': 'ViT', 'num_layers': 41, 'num_normalizations': 84, 'num_skip_connections': 0, 'num_convolutional_layers': 1, 'num_transformer_layers': 40, 'num_dense_layers': 82, 'final_receptive_field_size': -1, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 418712512}",40,84,0,1,82,-1.0,0.0,0.0,eva_giant_patch14_560,89.796,67.48,81.81,88.413,87.32
eva_giant_patch14_clip_224.laion400m,ViT,224,1012113024,"{'model_type': 'ViT', 'num_layers': 41, 'num_normalizations': 82, 'num_skip_connections': 0, 'num_convolutional_layers': 1, 'num_transformer_layers': 40, 'num_dense_layers': 82, 'final_receptive_field_size': 0, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 581463552}",40,82,0,1,82,0.0,0.0,0.0,eva_giant_patch14_clip_224,,,,,
eva_giant_patch14_clip_224.merged2b,ViT,224,1012113024,"{'model_type': 'ViT', 'num_layers': 42, 'num_normalizations': 85, 'num_skip_connections': 0, 'num_convolutional_layers': 1, 'num_transformer_layers': 40, 'num_dense_layers': 82, 'final_receptive_field_size': -1, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 571898688}",40,85,0,1,82,-1.0,0.0,0.0,eva_giant_patch14_clip_224,,,,,
eva_large_patch14_196.in22k_ft_in1k,ViT,196,303939560,"{'model_type': 'ViT', 'num_layers': 25, 'num_normalizations': 26, 'num_skip_connections': 0, 'num_convolutional_layers': 1, 'num_transformer_layers': 24, 'num_dense_layers': 50, 'final_receptive_field_size': 1, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 123342848}",24,26,0,1,50,1.0,0.0,0.0,eva_large_patch14_196,87.956,61.149,80.15,81.297,73.04
eva_large_patch14_196.in22k_ft_in22k_in1k,ViT,196,303939560,"{'model_type': 'ViT', 'num_layers': 25, 'num_normalizations': 26, 'num_skip_connections': 0, 'num_convolutional_layers': 1, 'num_transformer_layers': 24, 'num_dense_layers': 50, 'final_receptive_field_size': 0, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 125112832}",24,26,0,1,50,0.0,0.0,0.0,eva_large_patch14_196,88.596,59.871,80.18,78.51,75.4
eva_large_patch14_336.in22k_ft_in1k,ViT,336,303939560,"{'model_type': 'ViT', 'num_layers': 25, 'num_normalizations': 26, 'num_skip_connections': 0, 'num_convolutional_layers': 1, 'num_transformer_layers': 24, 'num_dense_layers': 50, 'final_receptive_field_size': 0, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 114446480}",24,26,0,1,50,0.0,0.0,0.0,eva_large_patch14_336,88.69,63.084,81.07,83.527,82.667
eva_large_patch14_336.in22k_ft_in22k_in1k,ViT,336,303939560,"{'model_type': 'ViT', 'num_layers': 25, 'num_normalizations': 26, 'num_skip_connections': 0, 'num_convolutional_layers': 1, 'num_transformer_layers': 24, 'num_dense_layers': 49, 'final_receptive_field_size': 0, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 114590216}",24,26,0,1,49,0.0,0.0,0.0,eva_large_patch14_336,89.25,60.935,80.78,80.093,83.533
fastvit_ma36.apple_dist_in1k,ConvNeXt,256,44007660,"{'model_type': 'ConvNeXt', 'num_layers': 224, 'num_normalizations': 82, 'num_skip_connections': 0, 'num_convolutional_layers': 118, 'num_transformer_layers': 6, 'num_dense_layers': 5, 'final_receptive_field_size': 17, 'num_strides': 4, 'num_max_pools': 0, 'num_parameters': 147049728}",6,82,0,118,5,17.0,4.0,0.0,fastvit_ma36,84.606,38.393,74.45,51.887,37.533
fastvit_ma36.apple_in1k,ConvMixer/MLP-Mixer with Transformer blocks,256,44007660,"{'model_type': 'ConvMixer/MLP-Mixer with Transformer blocks', 'num_layers': 362, 'num_normalizations': 85, 'num_skip_connections': 0, 'num_convolutional_layers': 147, 'num_transformer_layers': 6, 'num_dense_layers': 3, 'final_receptive_field_size': None, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 25873916}",6,85,0,147,3,,0.0,0.0,fastvit_ma36,83.884,36.578,73.75,49.523,34.533
fastvit_mci0.apple_mclip,CNN-Transformer,256,11374080,"{'model_type': 'CNN-Transformer', 'num_layers': 202, 'num_normalizations': 58, 'num_skip_connections': 0, 'num_convolutional_layers': 81, 'num_transformer_layers': 2, 'num_dense_layers': 3, 'final_receptive_field_size': 0, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 9740000}",2,58,0,81,3,0.0,0.0,0.0,fastvit_mci0,,,,,
fastvit_mci1.apple_mclip,ConvNeXt,256,21485952,"{'model_type': 'ConvNeXt', 'num_layers': 119, 'num_normalizations': 59, 'num_skip_connections': 0, 'num_convolutional_layers': 111, 'num_transformer_layers': 4, 'num_dense_layers': 3, 'final_receptive_field_size': 1, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 101726992}",4,59,0,111,3,1.0,0.0,0.0,fastvit_mci1,,,,,
fastvit_mci2.apple_mclip,ConvMLP,256,35737952,"{'model_type': 'ConvMLP', 'num_layers': 185, 'num_normalizations': 88, 'num_skip_connections': 0, 'num_convolutional_layers': 108, 'num_transformer_layers': 4, 'num_dense_layers': 3, 'final_receptive_field_size': 0, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 25418952}",4,88,0,108,3,0.0,0.0,0.0,fastvit_mci2,,,,,
fastvit_s12.apple_dist_in1k,CNN,256,9445800,"{'model_type': 'CNN', 'num_layers': 213, 'num_normalizations': 12, 'num_skip_connections': 0, 'num_convolutional_layers': 100, 'num_transformer_layers': 0, 'num_dense_layers': 1, 'final_receptive_field_size': 0, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 8183248}",0,12,0,100,1,0.0,0.0,0.0,fastvit_s12,81.074,30.187,69.84,42.547,16.987
fastvit_s12.apple_in1k,CNN,256,9445800,"{'model_type': 'CNN', 'num_layers': 200, 'num_normalizations': 24, 'num_skip_connections': 0, 'num_convolutional_layers': 77, 'num_transformer_layers': 0, 'num_dense_layers': 1, 'final_receptive_field_size': 1, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 9207386}",0,24,0,77,1,1.0,0.0,0.0,fastvit_s12,79.92,28.149,68.26,39.917,15.027
fastvit_sa12.apple_dist_in1k,CNN,256,11557288,"{'model_type': 'CNN', 'num_layers': 242, 'num_normalizations': 36, 'num_skip_connections': 0, 'num_convolutional_layers': 75, 'num_transformer_layers': 2, 'num_dense_layers': 3, 'final_receptive_field_size': 0, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 9885928}",2,36,0,75,3,0.0,0.0,0.0,fastvit_sa12,81.842,31.168,70.98,44.113,21.307
fastvit_sa12.apple_in1k,ConvNeXt-like,256,11557288,"{'model_type': 'ConvNeXt-like', 'num_layers': 168, 'num_normalizations': 39, 'num_skip_connections': 0, 'num_convolutional_layers': 75, 'num_transformer_layers': 2, 'num_dense_layers': 3, 'final_receptive_field_size': 0, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 10346480}",2,39,0,75,3,0.0,0.0,0.0,fastvit_sa12,80.84,29.678,69.66,42.923,16.307
fastvit_sa24.apple_dist_in1k,CNN,256,21516968,"{'model_type': 'CNN', 'num_layers': 400, 'num_normalizations': 43, 'num_skip_connections': 0, 'num_convolutional_layers': 142, 'num_transformer_layers': 4, 'num_dense_layers': 3, 'final_receptive_field_size': 1, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 129126080}",4,43,0,142,3,1.0,0.0,0.0,fastvit_sa24,83.362,35.206,73.17,47.98,31.32
fastvit_sa24.apple_in1k,CNN + ViT Hybrid,256,21516968,"{'model_type': 'CNN + ViT Hybrid', 'num_layers': 202, 'num_normalizations': 68, 'num_skip_connections': 0, 'num_convolutional_layers': 108, 'num_transformer_layers': 4, 'num_dense_layers': 3, 'final_receptive_field_size': -1, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 13361592}",4,68,0,108,3,-1.0,0.0,0.0,fastvit_sa24,82.706,34.096,72.08,46.657,29.0
fastvit_sa36.apple_dist_in1k,Hybrid CNN/Transformer,256,31476648,"{'model_type': 'Hybrid CNN/Transformer', 'num_layers': 148, 'num_normalizations': 66, 'num_skip_connections': 0, 'num_convolutional_layers': 108, 'num_transformer_layers': 6, 'num_dense_layers': 0, 'final_receptive_field_size': 1, 'num_strides': 0, 'num_max_pools': 0, 'num_parameters': 13714208}",6,66,0,108,0,1.0,0.0,0.0,fastvit_sa36,84.032,37.108,73.93,50.327,36.413
